鳗冠状病毒样病毒,引发,鳗毓狂游症
鳗毓狂游症,症状,不规则游动
鳗毓狂游症,症状,游动无力
鳗毓狂游症,症状,间隙性头部抽动
鳗毓狂游症,症状,旋转翻滚
鳗毓狂游症,症状,作后退运动
鳗毓狂游症,症状,头部阵发性颤动
鳗毓狂游症,症状,在水面狂游
鳗毓狂游症,症状,僵直状
鳗毓狂游症,症状,嘴张开
鳗毓狂游症,症状,尾部充血或有溃疡
鳗毓狂游症,症状,鳃丝鲜红
鳗毓狂游症,症状,肝脏淡红
鳗毓狂游症,症状,肾脏肿大
鳗毓狂游症,症状,血清氯离子显著增高
鳗毓狂游症,症状,尿素氮含量显著下降
鳗毓狂游症,症状,血清胆碱酯酶降低
鳗毓狂游症,感染,欧洲鳗
鳗毓狂游症,症状,非洲鳗
维生素C,防治,鳗毓狂游症
维生素E,防治,鳗毓狂游症
二氧化氯,防治,鳗毓狂游症
双链季铉盐碘,防治,鳗毓狂游症
光合菌,防治,鳗毓狂游症
净水剂,防治,鳗毓狂游症
大黄,防治,鳗毓狂游症
贯众,防治,鳗毓狂游症
板蓝根,防治,鳗毓狂游症
氟哌酸,防治,鳗毓狂游症
复合维生素,防治,鳗毓狂游症
聚维酮碘,防治,鳗毓狂游症
板蓝根,防治,鳗毓狂游症
贯众,防治,鳗毓狂游症
五倍子,防治,鳗毓狂游症
鱖鱼病毒,引发,鱖鱼暴发性病毒病
鱖鱼暴发性病毒病,症状,肝脏苍白色
鱖鱼暴发性病毒病,症状,肝上有红色血点
鱖鱼暴发性病毒病,症状,质地松脆
鱖鱼暴发性病毒病,症状,肠内充满黄色黏稠物
鱖鱼暴发性病毒病,症状,体表也染上黄色
鱖鱼暴发性病毒病,症状,体表出血
鱖鱼暴发性病毒病,症状,鳃红色
鱖鱼暴发性病毒病,症状,有腹水
鱖鱼暴发性病毒病,症状,结缔组织充血
聚维酮碘,防治,鱖鱼暴发性病毒病
三黄,防治,鱖鱼暴发性病毒病
板蓝根,防治,鱖鱼暴发性病毒病
嗜水气单胞菌,引发,甲鱼鳃腺炎病
霉菌,引发,甲鱼鳃腺炎病
甲鱼鳃腺炎病,症状,有白斑
甲鱼鳃腺炎病,症状,颈部肿大
甲鱼鳃腺炎病,症状,全身浮肿
甲鱼鳃腺炎病,症状,脏器出血
甲鱼鳃腺炎病,症状,腹甲上有出血斑
甲鱼鳃腺炎病,症状,运动迟钝
甲鱼鳃腺炎病,症状,浮出水面沿着池壁缓缓独游
甲鱼鳃腺炎病,症状,静卧于食台
甲鱼鳃腺炎病,症状,晒背台上不动
甲鱼鳃腺炎病,症状,不摄食
甲鱼鳃腺炎病,症状,口鼻流血
甲鱼鳃腺炎病,症状,鳃腺灰白糜烂
