白头白嘴病,感染,草鱼
白头白嘴病,感染,青鱼
白头白嘴病,感染,鲢鱼
白头白嘴病,感染,鳙鱼
白头白嘴病,感染,鲫鱼
白头白嘴病,感染,鲤鱼
白头白嘴病,感染,加州鲈
白头白嘴病,感染,夏花
白头白嘴病,症状,自吻端至眼球处发白
白头白嘴病,流行时间,5~7月
白头白嘴病,流行地区,长江和西江流域
白头白嘴病,流行地区,华中
白头白嘴病,流行地区,华南地区
白头白嘴病,感染,花鳅
白头白嘴病,感染,蝌蚪
白头白嘴病,症状,皮肤失去正常的颜色
白头白嘴病,症状,变成乳白色
白头白嘴病,症状,唇似肿胀
白头白嘴病,症状,张闭失灵
白头白嘴病,症状,呼吸困难
白头白嘴病,症状,口周围的皮肤溃烂
白头白嘴病,症状,体表有灰白色毛茸物
白头白嘴病,症状,尾鳍的边缘有白色镶边
白头白嘴病,症状,尾尖蛙蚀
白头白嘴病,症状,一般较瘦
白头白嘴病,症状,体色较黑
白头白嘴病,症状,浮游在下风近岸水面
白头白嘴病,症状,对人声等反应极迟钝
白头白嘴病,症状,上皮组织几乎全部坏死和脱落
白头白嘴病,症状,色素细胞也巳坏死崩溃
白头白嘴病,症状,色素颗粒分散于结缔组织之中
白头白嘴病,症状,结缔组织细胞和胶原纤维坏死
白头白嘴病,症状,结缔组织有点水肿
白头白嘴病,症状,上皮细胞都坏死脱落
白头白嘴病,症状,结缔组织也呈现水肿变质坏死
白头白嘴病,症状,眼瞳孔周围充血
白头白嘴病,症状,红头
白头白嘴病,症状,烂鳃
白头白嘴病,症状,口与鳃盖张闭失灵
白头白嘴病,症状,额部和嘴的周围色素消失
白头白嘴病,症状,呈现白头白嘴
白头白嘴病,症状,灶部位发生溃烂
白头白嘴病,症状,头部有充血
白头白嘴病,症状,体瘦发黑
白头白嘴病,症状,散乱地集浮在近岸水面
白头白嘴病,症状,不停地浮头
艾美虫病,感染,鲢鱼
艾美虫病,感染,鳙鱼
艾美虫病,感染,青鱼
艾美虫病,症状,贫血
艾美虫病,症状,鳞囊积水
艾美虫病,症状,有腹水
艾美虫病,症状,突眼
艾美虫病,症状,肝土黄色
艾美虫病,症状,肾颜色很淡
艾美虫病,症状,肠壁上有白色小结节
艾美虫病,症状,肠穿孔
艾美虫病,流行地区,辽宁省
艾美虫病,流行地区,江苏
艾美虫病,流行地区,浙江
艾美虫病,流行季节,夏季
爱德华菌病,症状,鱼体迟钝
